numero,fecha,precio
807,2015.7616438356165,246.1
808,2015.7643835616439,243.0
809,2015.7671232876712,242.6
810,2015.7698630136986,244.0
811,2015.772602739726,245.4
812,2015.7753424657535,247.6
813,2015.7780821917809,245.4
814,2015.7808219178082,248.8
815,2015.7835616438356,252.3
816,2015.786301369863,254.4
817,2015.7890410958903,262.9
818,2015.7917808219179,269.6
819,2015.7945205479452,261.7
820,2015.7972602739726,263.8
821,2015.8,269.8
822,2015.8027397260273,267.1
823,2015.805479452055,274.4
824,2015.8082191780823,276.9
825,2015.8109589041096,282.6
826,2015.813698630137,287.9
827,2015.8164383561643,285.1
828,2015.8191780821917,294.7
829,2015.8219178082193,303.5
830,2015.8246575342466,313.6
831,2015.827397260274,327.1
832,2015.8301369863013,311.2
833,2015.8328767123287,323.0
834,2015.835616438356,359.3
835,2015.8383561643836,396.5
836,2015.841095890411,400.9
837,2015.8438356164384,382.7
838,2015.8465753424657,369.8
839,2015.849315068493,385.1
840,2015.8520547945207,371.6
841,2015.854794520548,380.2
842,2015.8575342465754,336.7
843,2015.8602739726027,304.7
844,2015.86301369863,333.9
845,2015.8657534246574,333.8
846,2015.868493150685,331.8
847,2015.8712328767124,317.5
848,2015.8739726027397,330.2
849,2015.876712328767,333.9
850,2015.8794520547945,335.9
851,2015.8821917808218,325.0
852,2015.8849315068494,321.1
853,2015.8876712328768,324.7
854,2015.890410958904,322.8
855,2015.8931506849315,322.1
856,2015.8958904109588,318.4
857,2015.8986301369864,327.5
858,2015.9013698630138,353.7
859,2015.9041095890411,359.5
860,2015.9068493150685,355.8
861,2015.9095890410958,370.8
862,2015.9123287671232,378.0
863,2015.9150684931508,361.8
864,2015.9178082191781,360.0
865,2015.9205479452055,360.3
866,2015.9232876712329,361.7
867,2015.9260273972602,386.7
868,2015.9287671232876,393.4
869,2015.9315068493152,394.3
870,2015.9342465753425,410.7
871,2015.9369863013699,416.0
872,2015.9397260273972,415.5
873,2015.9424657534246,449.8
874,2015.945205479452,432.3
875,2015.9479452054795,434.7
876,2015.9506849315069,442.0
877,2015.9534246575342,462.6
878,2015.9561643835616,454.0
879,2015.958904109589,455.5
880,2015.9616438356165,463.2
881,2015.964383561644,461.2
882,2015.9671232876713,441.8
883,2015.9698630136986,437.6
884,2015.972602739726,437.0
